question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q9,0,0.0,0.5,0.0,0.5,D,C,C,gemma3:12b,0,B,0
q9,1,0.5,0.0,0.0,0.5,D,B,C,gemma3:12b,0,A,0
q9,2,0.0,0.0,1.0,0.0,C,A,C,gemma3:12b,0,C,0
q9,3,0.0,1.0,0.0,0.0,B,D,C,gemma3:12b,0,B,0
q11,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,gemma3:12b,1,B,0
q11,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,gemma3:12b,0,C,1
q11,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b,0,D,0
q11,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:12b,0,C,0
q13,0,0.5,0.0,0.0,0.5,D,A,A,gemma3:12b,0,A,1
q13,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b,1,D,1
q13,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:12b,1,C,1
q13,3,0.0,0.5,0.0,0.5,D,B,A,gemma3:12b,0,B,1
q15,0,0.0,0.5,0.5,0.0,C,A,A,gemma3:12b,0,C,0
q15,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b,1,D,1
q15,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:12b,0,D,0
q15,3,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,A,gemma3:12b,0,B,1
q16,0,0.5,0.0,0.0,0.5,D,D,D,gemma3:12b,1,A,0
q16,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:12b,0,D,0
q16,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b,0,D,0
q16,3,0.0,0.5,0.5,0.0,C,A,D,gemma3:12b,0,C,0
q20,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,D,gemma3:12b,0,B,0
q20,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,gemma3:12b,0,C,1
q20,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b,0,D,0
q20,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:12b,0,C,0
q25,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,A,gemma3:12b,0,A,1
q25,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b,1,D,1
q25,2,0.0,0.6666666666666666,0.0,0.3333333333333333,B,C,A,gemma3:12b,0,B,0
q25,3,0.6666666666666666,0.0,0.0,0.3333333333333333,A,B,A,gemma3:12b,0,A,0
q33,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,D,gemma3:12b,1,A,0
q33,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,D,gemma3:12b,0,C,1
q33,2,0.3333333333333333,0.6666666666666666,0.0,0.0,B,B,D,gemma3:12b,1,A,0
q33,3,1.0,0.0,0.0,0.0,A,A,D,gemma3:12b,1,A,1
q39,0,0.5,0.0,0.0,0.5,D,D,D,gemma3:12b,1,A,0
q39,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:12b,0,D,0
q39,2,0.0,0.0,1.0,0.0,C,B,D,gemma3:12b,0,C,0
q39,3,0.0,1.0,0.0,0.0,B,A,D,gemma3:12b,0,B,0
q44,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,D,gemma3:12b,0,C,0
q44,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:12b,0,D,0
q44,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b,0,D,0
q44,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,D,gemma3:12b,0,C,0
q52,0,0.0,0.0,0.5,0.5,C,B,B,gemma3:12b,0,C,0
q52,1,0.0,0.0,0.0,1.0,D,A,B,gemma3:12b,0,D,0
q52,2,0.0,0.6666666666666666,0.0,0.3333333333333333,B,D,B,gemma3:12b,0,B,0
q52,3,0.0,0.0,0.0,1.0,D,C,B,gemma3:12b,0,D,0
q55,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,A,A,gemma3:12b,0,A,1
q55,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b,1,D,1
q55,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,A,gemma3:12b,0,C,1
q55,3,0.0,0.5,0.5,0.0,C,B,A,gemma3:12b,0,C,0
q56,0,1.0,0.0,0.0,0.0,A,C,C,gemma3:12b,0,A,0
q56,1,0.0,1.0,0.0,0.0,B,B,C,gemma3:12b,1,B,1
q56,2,0.5,0.5,0.0,0.0,B,A,C,gemma3:12b,0,A,1
q56,3,0.0,1.0,0.0,0.0,B,D,C,gemma3:12b,0,B,0
q57,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,gemma3:12b,1,B,0
q57,1,0.0,0.0,0.5,0.5,D,C,D,gemma3:12b,0,C,1
q57,2,0.0,0.0,0.0,1.0,D,B,D,gemma3:12b,0,D,0
q57,3,0.0,0.0,1.0,0.0,C,A,D,gemma3:12b,0,C,0
q58,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,gemma3:12b,1,B,0
q58,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:12b,0,D,0
q58,2,0.0,0.5,0.5,0.0,B,B,D,gemma3:12b,1,C,0
q58,3,0.0,0.6666666666666666,0.0,0.3333333333333333,B,A,D,gemma3:12b,0,B,0
q59,0,0.5,0.5,0.0,0.0,B,B,B,gemma3:12b,1,A,0
q59,1,0.0,0.0,0.0,1.0,D,A,B,gemma3:12b,0,D,0
q59,2,0.0,0.0,0.5,0.5,C,D,B,gemma3:12b,0,C,0
q59,3,0.0,1.0,0.0,0.0,B,C,B,gemma3:12b,0,B,0
q61,0,0.5,0.0,0.5,0.0,C,D,D,gemma3:12b,0,C,0
q61,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:12b,0,D,0
q61,2,0.0,0.0,1.0,0.0,C,B,D,gemma3:12b,0,C,0
q61,3,0.0,0.0,0.0,1.0,D,A,D,gemma3:12b,0,D,0
q71,0,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,D,gemma3:12b,1,B,0
q71,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,C,D,gemma3:12b,0,B,0
q71,2,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,D,gemma3:12b,0,B,1
q71,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,A,D,gemma3:12b,0,C,0
q72,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,A,A,gemma3:12b,0,B,0
q72,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:12b,1,D,1
q72,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:12b,0,D,0
q72,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:12b,0,C,0
q75,0,0.5,0.0,0.5,0.0,C,D,D,gemma3:12b,0,C,0
q75,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:12b,0,D,0
q75,2,0.0,0.0,1.0,0.0,C,B,D,gemma3:12b,0,C,0
q75,3,0.0,1.0,0.0,0.0,B,A,D,gemma3:12b,0,B,0
q80,0,0.0,0.5,0.5,0.0,C,D,D,gemma3:12b,0,C,0
q80,1,0.0,0.5,0.0,0.5,D,C,D,gemma3:12b,0,B,0
q80,2,0.0,0.5,0.0,0.5,D,B,D,gemma3:12b,0,B,1
q80,3,0.0,0.0,0.0,1.0,D,A,D,gemma3:12b,0,D,0
q81,0,0.0,0.5,0.0,0.5,B,B,B,gemma3:12b,1,B,1
q81,1,0.0,0.0,0.0,1.0,D,A,B,gemma3:12b,0,D,0
q81,2,0.0,0.0,1.0,0.0,C,D,B,gemma3:12b,0,C,0
q81,3,0.0,0.3333333333333333,0.0,0.6666666666666666,D,C,B,gemma3:12b,0,B,0
q97,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,A,gemma3:12b,0,C,0
q97,1,0.0,1.0,0.0,0.0,B,D,A,gemma3:12b,0,B,0
q97,2,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,A,gemma3:12b,0,C,1
q97,3,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,A,gemma3:12b,1,B,1
q99,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,C,C,gemma3:12b,0,C,1
q99,1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,B,B,C,gemma3:12b,1,C,0
q99,2,0.0,1.0,0.0,0.0,B,A,C,gemma3:12b,0,B,0
q99,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,D,C,gemma3:12b,0,C,0
